"id_stone","label_stone","id_word","label_word","wkt","x","y"
30000079,"220. Derrynane (Ogham Stone Concept by the Ogham in 3D Project)",1,"ANM","POINT(-10.122222 51.773056)",-10.122222,51.773056
30000079,"220. Derrynane (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-10.122222 51.773056)",-10.122222,51.773056
30000079,"220. Derrynane (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-10.122222 51.773056)",-10.122222,51.773056
30000079,"220. Derrynane (Ogham Stone Concept by the Ogham in 3D Project)",18,"ERC","POINT(-10.122222 51.773056)",-10.122222,51.773056
30000079,"220. Derrynane (Ogham Stone Concept by the Ogham in 3D Project)",52,"ERC","POINT(-10.122222 51.773056)",-10.122222,51.773056
30000080,"223. Parknasilla (Ogham Stone Concept by the Ogham in 3D Project)",1,"ANM","POINT(-9.875 51.858611)",-9.875,51.858611
30000081,"23. Colbinstown V (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-6.756389 53.031111)",-6.756389,53.031111
30000082,"230. Cloghanecarhan (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-10.176944 51.894167)",-10.176944,51.894167
30000083,"241. Kilbonane (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.673611 52.086111)",-9.673611,52.086111
30000083,"241. Kilbonane (Ogham Stone Concept by the Ogham in 3D Project)",10,"CUNA","POINT(-9.673611 52.086111)",-9.673611,52.086111
30000083,"241. Kilbonane (Ogham Stone Concept by the Ogham in 3D Project)",48,"DALI","POINT(-9.673611 52.086111)",-9.673611,52.086111
30000083,"241. Kilbonane (Ogham Stone Concept by the Ogham in 3D Project)",60,"BAIDAGNI","POINT(-9.673611 52.086111)",-9.673611,52.086111
30000085,"246a. Ardcanaght I (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.733611 52.165556)",-9.733611,52.165556
