"ciic"|"latitude"|"longitude"|"altitude"|"geometry"|"macci"|"mac"|"lug"|"qen"|"avi"|"cuna"|"maq"|"maqi"|"alatto"|"alattos"|"qasign"|"ceran"|"acto"|"mucoi"|"cuno"|"medvvi"|"vraicci"|"catto"|"ivacattos"|"iva"|"cat"|"cattos"|"maqqi"|"koi"|"tren"|"netta"|"bran"|"drugno"|"vir"|"ver"|"dov"|"branogeni"|"ineqaglas"|"glas"|"covagni"|"bar"|"bari"|"iarni"|"dercmasoc"|"erc"|"neta"|"cari"|"anm"|"trenu"|"cattu"|"brusco"|"colomagni"|"dovalesci"|"giragni"|"viragni"|"coimagni"|"mocoi"|"moco"|"domngen"|"conann"|"cona"|"con"|"casoni"|"maci"|"brocc"|"bir"|"bait"|"cronun"|"erca"|"dommo"|"meddo"|"corbagni"|"corre"|"celi"|"cunas"|"cunagussos"|"dalagni"|"dali"|"dala"|"ttren"|"vergoso"|"dego"|"laddigni"|"laidann"|"corbbi"|"conas"|"glasiconas"|"curci"|"drogno"|"qeni"|"roddos"|"conu"|"brusccos"|"catu"|"brocann"|"gamicunas"|"degos"|"vorgos"|"battigni"|"cati"|"broci"|"gatteglan"|"mocu"|"baidagni"|"ritte"|"cattuvvirr"|"ivageni"|"ivo"|"daimagni"|"gosoctas"|"cunnetas"|"cata"|"catabar"|"moddagn"|"brocagni"|"magl"
67|"51.6288889"|"-9.981666666666667"||"Point"||||||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
68|"51.7275"|"-9.711944444444443"||"Point"|||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
69|"51.6788889"|"-8.846944444444444"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
70|"51.6788889"|"-8.846944444444444"||"Point"||||||1|1|1||||||1|||||||||||||||1|||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
71|"51.6788889"|"-8.846944444444444"||"Point"|||||||1|1|||||||||||||||||||||||||||||||||||||||||||1|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
72|"51.7708333"|"-9.088055555555556"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
73|"51.6883333"|"-8.95611111111111"||"Point"||||||||||||||||||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||
74|"51.6883333"|"-8.95611111111111"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||1|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||
75|"51.7594444"|"-9.185833333333333"||"Point"|||||||1||||||||||||||||||||||||||||||||||||1|||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||
76|51645|"-8.893055555555556"||"Point"||1|||||||||||||||||||||||||||||||||||||||||1||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||
