PlcIndex,ClstRad5000,ClstRad10000,ClstRad15000,ClstRad20000,ClstRad25000,ClstRad30000,ClstRad35000,ClstRad40000,ClstRad45000,ClstRad50000,ClstRad55000,ClstRad60000
'12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,8,16,8,4,3,3,2,2,1,1,1,1
282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283-284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286-290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292-299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,2,2,2,2,2,1,1,1,1,1,1
300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307-308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309-310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,8,16,8,4,3,3,2,2,1,1,1,1
311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,8,16,8,4,3,3,2,2,1,1,1,1
33,8,16,8,4,3,3,2,2,1,1,1,1
34,NA,NA,5,5,3,3,2,2,1,1,1,1
35,8,16,8,4,3,3,2,2,1,1,1,1
36-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,16,8,4,3,3,2,2,1,1,1,1
39,8,16,8,4,3,3,2,2,1,1,1,1
4,6,14,8,4,3,3,2,2,1,1,1,1
40,8,16,8,4,3,3,2,2,1,1,1,1
41,NA,5,5,5,3,3,2,2,1,1,1,1
42,8,16,8,4,3,3,2,2,1,1,1,1
43,8,16,8,4,3,3,2,2,1,1,1,1
44,8,16,8,4,3,3,2,2,1,1,1,1
45,8,16,8,4,3,3,2,2,1,1,1,1
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,8,16,8,4,3,3,2,2,1,1,1,1
48,NA,16,8,4,3,3,2,2,1,1,1,1
49,9,16,8,4,3,3,2,2,1,1,1,1
5,6,14,8,4,3,3,2,2,1,1,1,1
50,8,16,8,4,3,3,2,2,1,1,1,1
51,NA,NA,NA,NA,NA,4,3,3,1,1,1,1
52,8,16,8,4,3,3,2,2,1,1,1,1
53,8,16,8,4,3,3,2,2,1,1,1,1
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,9,16,8,4,3,3,2,2,1,1,1,1
56,8,16,8,4,3,3,2,2,1,1,1,1
57-58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,14,8,4,3,3,2,2,1,1,1,1
61,NA,6,5,5,3,3,2,2,1,1,1,1
62,8,16,8,4,3,3,2,2,1,1,1,1
63-64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,8,16,8,4,3,3,2,2,1,1,1,1
66,8,16,8,4,3,3,2,2,1,1,1,1
67,10,15,8,4,3,3,2,2,1,1,1,1
68,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
69-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6,14,8,4,3,3,2,2,1,1,1,1
72,10,15,8,4,3,3,2,2,1,1,1,1
73-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,17,8,4,3,3,2,2,1,1,1,1
76,12,15,8,4,3,3,2,2,1,1,1,1
77,NA,15,8,4,3,3,2,2,1,1,1,1
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,6,14,8,4,3,3,2,2,1,1,1,1
81,NA,18,8,4,3,3,2,2,1,1,1,1
82-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,6,14,8,4,3,3,2,2,1,1,1,1
97-102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
