"ID1" "ID2" "d12"
172 106 79580.06
172 107 79162.82
172 108 45945.83
172 109 38070.44
172 110 29089.15
172 112 40941.9
172 113 60058.88
172 114 43627.09
172 115 61307.81
172 116 51453.22
172 117 58555.39
172 119 79809.88
172 120 78191.43
172 122 76255.22
172 123 77625.45
172 124 72419.07
172 125 71983.41
172 127 54609.86
172 128 68647.55
172 130 69891.12
172 131 62374.38
172 132 94877.71
172 133 87314.8
172 134 87597.47
172 135 88141.05
172 136 79710.65
172 137 81851.63
173 174 12882.01
173 176 18414.64
173 177 15136.75
173 178 31783.19
173 179 25821.52
173 182 85896.4
173 183 47808.72
173 185 48044.27
173 186 50025.77
173 187 53780.82
173 188 52483.54
173 189 62723.52
173 190 14366.82
173 191 37917.82
173 193 31422.94
173 194 36894.24
173 196 26975.17
173 4 16520.21
173 5 20642.61
